left;right 
20051109_57451_0400_PP.png;20051109_57843_0400_PP.png
20051109_59864_0400_PP.png;20051109_59751_0400_PP.png
20051109_60031_0400_PP.png;20051109_59969_0400_PP.png
20051110_33960_0400_PP.png;20051109_60136_0400_PP.png
20051110_34071_0400_PP.png;20051110_34013_0400_PP.png
20051110_35279_0400_PP.png;20051110_35239_0400_PP.png
20051110_35926_0400_PP.png;20051110_35332_0400_PP.png
20051110_38111_0400_PP.png;20051110_37992_0400_PP.png
20051110_38194_0400_PP.png;20051110_38156_0400_PP.png
20051110_38280_0400_PP.png;20051110_38239_0400_PP.png
20051110_38352_0400_PP.png;20051110_38313_0400_PP.png
20051116_43585_0400_PP.png;20051116_43388_0400_PP.png
20051116_43721_0400_PP.png;20051116_43710_0400_PP.png
20051116_43801_0400_PP.png;20051116_43785_0400_PP.png
20051116_43995_0400_PP.png;20051116_43954_0400_PP.png
20051116_44648_0400_PP.png;20051116_44615_0400_PP.png
20051116_44750_0400_PP.png;20051116_44718_0400_PP.png
20051116_44804_0400_PP.png;20051116_44816_0400_PP.png
20051116_54454_0400_PP.png;20051116_54429_0400_PP.png
20051116_54587_0400_PP.png;20051116_54484_0400_PP.png
20051116_54663_0400_PP.png;20051116_54642_0400_PP.png
20051116_54692_0400_PP.png;20051116_54825_0400_PP.png
20051116_54832_0400_PP.png;20051116_54839_0400_PP.png
20051116_55656_0400_PP.png;20051116_55649_0400_PP.png
20051116_58804_0400_PP.png;20051116_58816_0400_PP.png
20051116_58835_0400_PP.png;20051116_58828_0400_PP.png
20051116_58864_0400_PP.png;20051116_58872_0400_PP.png
20051116_59168_0400_PP.png;20051116_59150_0400_PP.png
20051117_37051_0400_PP.png;20051117_37042_0400_PP.png
20051117_37100_0400_PP.png;20051117_37078_0400_PP.png
20051117_37155_0400_PP.png;20051117_37130_0400_PP.png
20051117_37213_0400_PP.png;20051117_37185_0400_PP.png
20051130_53586_0400_PP.png;20051117_37321_0400_PP.png
20051130_53623_0400_PP.png;20051130_53663_0400_PP.png
20051130_54030_0400_PP.png;20051130_53991_0400_PP.png
20051130_54121_0400_PP.png;20051130_54077_0400_PP.png
20051130_54301_0400_PP.png;20051130_54257_0400_PP.png
